PEDIDO,ITEM,IDCLIENTE,ALTURAINTERNA_diff,ALTURAINTERNA_diff_pct,ALTURAPACOTE_diff,ALTURAPACOTE_diff_pct,ALTURAPALETEFECHADO_diff,ALTURAPALETEFECHADO_diff_pct,AMARRADO_diff,AMARRADO_diff_pct,AREABRUTACHAPA_diff,AREABRUTACHAPA_diff_pct,AREABRUTAPECA_diff,AREABRUTAPECA_diff_pct,AREABRUTAPECACOMREFILOS_diff,AREABRUTAPECACOMREFILOS_diff_pct,AREALIQUIDACHAPA_diff,AREALIQUIDACHAPA_diff_pct,AREALIQUIDAPECA_diff,AREALIQUIDAPECA_diff_pct,ARRANJO_diff,ARRANJO_diff_pct,COBBINTMAXIMO_diff,COBBINTMAXIMO_diff_pct,CODIGOREFERENCIA_diff,CODIGOREFERENCIA_diff_pct,COLUNAMINIMO_diff,COLUNAMINIMO_diff_pct,COMMPALETEFECHADO_diff,COMMPALETEFECHADO_diff_pct,COMPPACOTE_diff,COMPPACOTE_diff_pct,COMPPECA_diff,COMPPECA_diff_pct,COMPRESSAO_diff,COMPRESSAO_diff_pct,COMPRIMENTO_diff,COMPRIMENTO_diff_pct,COMPRIMENTOINTERNO_diff,COMPRIMENTOINTERNO_diff_pct,CONSUMOCOR1_diff,CONSUMOCOR1_diff_pct,CONSUMOCOR2_diff,CONSUMOCOR2_diff_pct,CONSUMOCOR3_diff,CONSUMOCOR3_diff_pct,CONSUMOCOR4_diff,CONSUMOCOR4_diff_pct,ESPELHO_diff,ESPELHO_diff_pct,EXIGELAUDO_diff,EXIGELAUDO_diff_pct,FACA_diff,FACA_diff_pct,FILME_diff,FILME_diff_pct,GRAMATURA_diff,GRAMATURA_diff_pct,IDPALETE_diff,IDPALETE_diff_pct,IDTIPOFT2_diff,IDTIPOFT2_diff_pct,LAP_diff,LAP_diff_pct,LAPINTERNO_diff,LAPINTERNO_diff_pct,LAPNOCOMP_diff,LAPNOCOMP_diff_pct,LARGPACOTE_diff,LARGPACOTE_diff_pct,LARGPALETEFECHADO_diff,LARGPALETEFECHADO_diff_pct,LARGPECA_diff,LARGPECA_diff_pct,LARGURA_diff,LARGURA_diff_pct,LARGURAINTERNA_diff,LARGURAINTERNA_diff_pct,MULTCOMP_diff,MULTCOMP_diff_pct,MULTLARG_diff,MULTLARG_diff_pct,NRCORES_diff,NRCORES_diff_pct,PACOTESALTURA_diff,PACOTESALTURA_diff_pct,PACOTESLARGURA_diff,PACOTESLARGURA_diff_pct,PACOTESPORPALETE_diff,PACOTESPORPALETE_diff_pct,PALETIZADO_diff,PALETIZADO_diff_pct,PECASPORPACOTE_diff,PECASPORPACOTE_diff_pct,PECASPORPALETE_diff,PECASPORPALETE_diff_pct,PESOCAIXA_diff,PESOCAIXA_diff_pct,PROLONGLAP_diff,PROLONGLAP_diff_pct,REFERENCIA_diff,REFERENCIA_diff_pct,REFILADO_diff,REFILADO_diff_pct,REFILOCOMPRIMENTO_diff,REFILOCOMPRIMENTO_diff_pct,REFILOLARGURA_diff,REFILOLARGURA_diff_pct,REFUGOCLIENTE_diff,REFUGOCLIENTE_diff_pct,RESINAINTERNA_diff,RESINAINTERNA_diff_pct,TIPOABNT_diff,TIPOABNT_diff_pct,UNIDADESPORPALETE_diff,UNIDADESPORPALETE_diff_pct,VINCOCOMP1_diff,VINCOCOMP1_diff_pct,VINCOCOMP2_diff,VINCOCOMP2_diff_pct,VINCOCOMP3_diff,VINCOCOMP3_diff_pct,VINCOCOMP4_diff,VINCOCOMP4_diff_pct,VINCOCOMP5_diff,VINCOCOMP5_diff_pct,VINCOLARG1_diff,VINCOLARG1_diff_pct,VINCOLARG2_diff,VINCOLARG2_diff_pct,VINCOLARG3_diff,VINCOLARG3_diff_pct,VOLUMEPACOTEFECHADOM3_diff,VOLUMEPACOTEFECHADOM3_diff_pct,VOLUMEPALETEFECHADOM3_diff,VOLUMEPALETEFECHADOM3_diff_pct
697520-2,761970,12328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620698-7,718621,12302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-183.0,-78.2051282051282,,,0.0,,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-1.851851851851852,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
589606-1,CHAB2113557,5736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRD074236,845801,10117,0.0,0.0,0.0,0.0,80.0,4.41988950276243,0.0,0.0,0.00225,0.1647707050868074,0.0,0.0,0.001125,0.1647707050868074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.1428571428571428,234.0,33.47639484978541,0.0,0.0,,,-5.0,-0.3526093088857546,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,-1.0,-50.0,5.0,1.1210762331838564,-84.0,-88.42105263157895,,,0.0,,0.0,-0.0,0.0,-0.0,-234.0,-25.080385852090032,0.0,0.0,0.0,0.0,5.0,0.5192107995846313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3478260869565215,-1.0,-50.0,2.0,4.3478260869565215,0.0,0.0,0.0,0.0,50.0,4.3478260869565215,0.0,0.0,0.0,,,,0.0,0.0,-5.0,-25.0,5.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.3478260869565215,,,,,,,,,,,,,,,,,0.0,0.0,0.100969,4.270707234768989
PRD047708,745920,8909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106250000000001,0.4262574595055456,0.0,0.0,0.0017708333333333,0.4262574595055545,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-213.0,-85.54216867469879,,,0.0,,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.4262574595055414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,5.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
591991-16,CHADC2114136,9505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626241-2,CHADC217439,5736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645974-3,804511,1428,0.0,0.0,-100.0,-50.0,130.0,11.304347826086955,1.0,,-0.3662859999999999,-26.18312878545812,-0.00078,-0.2328247009098082,-0.0055170833333332,-1.577505047277482,-0.337356,-25.17461852568236,0.0011770139999999,0.4144027868762142,-1.0,-25.0,0.0,0.0,,,0.0,0.0,-8.0,-0.6172839506172839,127.0,24.56479690522244,2.0,0.3868471953578337,,,508.0,47.96978281397545,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,-0.0,0.0,-0.0,-129.0,-19.90740740740741,4.0,0.3868471953578337,-4.0,-0.6172839506172839,-662.0,-50.113550340651024,0.0,0.0,1.0,50.0,-1.0,-50.0,1.0,,6.0,120.0,0.0,0.0,24.0,120.0,0.0,0.0,-50.0,-50.0,200.0,10.0,0.0,0.0,0.0,,,,0.0,0.0,-15.0,-60.0,-10.0,-40.0,-0.5500000000000007,-3.613666228646522,0.0,,-133.0,-88.66666666666667,200.0,10.0,,,,,,,,,,,,,,,,,-0.0335789999999999,-50.1156664626957,0.1702139999999998,11.045154223612874
635850-1,719180,10530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1675.0,1021.341463414634,-166.0,-9.026644915715062,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-211.0,-89.40677966101694,,,0.0,,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
659171-1,775841,1824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,25.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,-0.0,0.0,-0.0,-139.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
